id	like	retweet	date
840281634565955584	4	5	2017-03-10 19:22:08
840177852582621184	2	4	2017-03-10 12:29:44
840177813974110209	2	0	2017-03-10 12:29:35
840157945182732288	11	10	2017-03-10 11:10:38
840129382463107073	8	6	2017-03-10 09:17:08
839760909778190341	1	3	2017-03-09 08:52:57
839520591153610752	1	0	2017-03-08 16:58:01
839520501659746307	1	0	2017-03-08 16:57:39
839499941055692800	1	0	2017-03-08 15:35:57
839499334865530881	5	6	2017-03-08 15:33:33
839486388177420288	0	0	2017-03-08 14:42:06
839486242152714240	0	0	2017-03-08 14:41:31
839478535991488513	0	0	2017-03-08 14:10:54
839477074842779648	2	3	2017-03-08 14:05:06
839476243565264896	2	0	2017-03-08 14:01:47
839474833540931584	1	0	2017-03-08 13:56:11
839473775670349824	0	0	2017-03-08 13:51:59
839473360077795328	0	0	2017-03-08 13:50:20
839472094543036416	1	0	2017-03-08 13:45:18
839471768716853252	1	0	2017-03-08 13:44:00
839471601829699585	1	0	2017-03-08 13:43:21
839470553027264512	1	0	2017-03-08 13:39:11
839470317953232896	2	0	2017-03-08 13:38:15
839470120217030656	1	0	2017-03-08 13:37:27
839468839981174788	1	1	2017-03-08 13:32:22
839468480378327040	1	0	2017-03-08 13:30:56
839468064257294336	1	0	2017-03-08 13:29:17
839467315360051201	0	0	2017-03-08 13:26:19
839467150771425280	1	0	2017-03-08 13:25:39
839466620271611904	0	0	2017-03-08 13:23:33
839466346362638336	4	15	2017-03-08 13:22:28
839466205387833344	4	2	2017-03-08 13:21:54
839463576901402626	5	0	2017-03-08 13:11:27
839463059701841921	7	0	2017-03-08 13:09:24
839462612995801088	2	0	2017-03-08 13:07:38
839461794422874112	0	0	2017-03-08 13:04:22
839461448711565313	1	2	2017-03-08 13:03:00
839460732987138048	1	1	2017-03-08 13:00:09
839460176122036225	1	0	2017-03-08 12:57:57
839458465802301440	0	1	2017-03-08 12:51:09
839458100604252160	1	1	2017-03-08 12:49:42
839457814531690496	1	0	2017-03-08 12:48:34
839457116620484609	0	2	2017-03-08 12:45:47
839456793776570368	2	1	2017-03-08 12:44:30
839456361901658112	1	10	2017-03-08 12:42:47
839455783309946882	3	1	2017-03-08 12:40:29
839454835619549184	8	4	2017-03-08 12:36:43
839402686038564865	4	5	2017-03-08 09:09:30
839074633894752257	3	1	2017-03-07 11:25:56
839052168745353217	2	3	2017-03-07 09:56:40
838672750332022785	5	6	2017-03-06 08:49:00
838079373844623365	1	0	2017-03-04 17:31:08
837984348116770817	6	10	2017-03-04 11:13:32
837325430071898113	4	8	2017-03-02 15:35:13
837325413324050434	1	0	2017-03-02 15:35:09
837263726461898752	0	1	2017-03-02 11:30:02
837222659662495745	2	0	2017-03-02 08:46:51
836976839390347266	1	3	2017-03-01 16:30:03
836963579261771776	0	0	2017-03-01 15:37:21
836963521313255425	0	0	2017-03-01 15:37:08
836910216008577025	3	0	2017-03-01 12:05:19
836891778473209857	4	4	2017-03-01 10:52:03
836883812948791296	2	3	2017-03-01 10:20:24
835914069311959041	2	1	2017-02-26 18:06:59
835493028030791680	1	0	2017-02-25 14:13:55
835491476872249344	2	1	2017-02-25 14:07:45
835490688179515392	4	2	2017-02-25 14:04:37
835485370615742464	6	2	2017-02-25 13:43:29
835472119261691906	5	0	2017-02-25 12:50:50
835462559587307520	0	0	2017-02-25 12:12:51
835459028893450240	3	2	2017-02-25 11:58:49
835457342514872321	3	1	2017-02-25 11:52:07
835453002647490560	0	0	2017-02-25 11:34:52
835452172611518465	0	0	2017-02-25 11:31:34
835449502924333057	2	0	2017-02-25 11:20:58
835449473027420161	11	3	2017-02-25 11:20:50
835438552867618816	1	0	2017-02-25 10:37:27
835041192182173697	2	1	2017-02-24 08:18:29
835041171709755392	1	1	2017-02-24 08:18:24
834872701219188736	1	1	2017-02-23 21:08:57
834821845899759620	0	0	2017-02-23 17:46:52
834711683947978754	4	8	2017-02-23 10:29:08
834711547624701953	3	4	2017-02-23 10:28:35
834711513772470276	8	7	2017-02-23 10:28:27
834708166256500739	5	3	2017-02-23 10:15:09
834704481002614784	1	3	2017-02-23 10:00:30
834704267202220032	10	6	2017-02-23 09:59:40
834696951434137600	0	0	2017-02-23 09:30:35
834696908526456833	1	3	2017-02-23 09:30:25
834369158439698433	4	3	2017-02-22 11:48:03
834369135098335232	3	3	2017-02-22 11:47:58
834367118007291904	2	2	2017-02-22 11:39:57
834366369068154880	5	7	2017-02-22 11:36:58
833691265661300737	2	0	2017-02-20 14:54:21
833611106413326336	4	1	2017-02-20 09:35:50
833358579008667648	10	7	2017-02-19 16:52:22
833339350238769154	5	4	2017-02-19 15:35:58
833339046386663424	5	5	2017-02-19 15:34:46
832914444464320514	2	1	2017-02-18 11:27:33
832914403146219520	20	13	2017-02-18 11:27:23
832903361053720576	6	4	2017-02-18 10:43:30
832660723876536321	4	0	2017-02-17 18:39:21
832648812921380864	1	0	2017-02-17 17:52:01
832648533345832962	3	0	2017-02-17 17:50:54
832619506551881728	12	6	2017-02-17 15:55:34
832610117883457537	4	2	2017-02-17 15:18:15
832608867322310656	6	3	2017-02-17 15:13:17
832174948621963265	9	7	2017-02-16 10:29:03
831819761340313601	7	6	2017-02-15 10:57:40
831118985055834113	3	3	2017-02-13 12:33:02
831103152023859202	6	5	2017-02-13 11:30:07
831063227484209152	0	0	2017-02-13 08:51:28
830915887167336448	14	6	2017-02-12 23:05:59
830915624528441344	3	2	2017-02-12 23:04:57
830352399399280640	8	7	2017-02-11 09:46:53
830118035641999360	3	0	2017-02-10 18:15:37
830107310529863680	1	2	2017-02-10 17:33:00
830090397082861568	1	3	2017-02-10 16:25:47
830085763605942273	6	3	2017-02-10 16:07:22
830021654340268032	0	0	2017-02-10 11:52:38
830021628356608005	9	10	2017-02-10 11:52:31
830019852123385859	1	1	2017-02-10 11:45:28
830003810701627392	5	8	2017-02-10 10:41:43
829674416640577536	16	9	2017-02-09 12:52:50
829652333596377088	6	4	2017-02-09 11:25:05
829265031493730304	1	0	2017-02-08 09:46:05
829007297363968000	3	2	2017-02-07 16:41:56
828909462966697985	4	0	2017-02-07 10:13:11
828909425666748416	7	0	2017-02-07 10:13:02
828570047941578753	0	0	2017-02-06 11:44:28
828567217939832832	0	0	2017-02-06 11:33:13
828564065517727744	0	0	2017-02-06 11:20:41
828563137691578368	9	12	2017-02-06 11:17:00
828322227259109376	6	2	2017-02-05 19:19:43
827857646745219072	4	2	2017-02-04 12:33:38
827630134719107072	14	15	2017-02-03 21:29:35
827218756980133889	3	1	2017-02-02 18:14:55
827197756737466372	1	2	2017-02-02 16:51:28
827165026582667264	9	3	2017-02-02 14:41:24
827144070279659521	3	1	2017-02-02 13:18:08
827090357280178176	3	4	2017-02-02 09:44:42
826871661022568450	4	4	2017-02-01 19:15:41
826444749238308865	4	5	2017-01-31 14:59:17
826377560820965378	0	0	2017-01-31 10:32:18
826004002127171595	6	6	2017-01-30 09:47:55
824628066240565249	1	0	2017-01-26 14:40:26
824626447348277251	2	7	2017-01-26 14:34:00
824621142744961025	1	1	2017-01-26 14:12:55
824323212720930817	1	0	2017-01-25 18:29:03
824232370471665665	1	0	2017-01-25 12:28:05
824168552521469953	4	2	2017-01-25 08:14:29
823898150297604096	0	0	2017-01-24 14:20:00
823845758776606722	8	18	2017-01-24 10:51:49
823827847747932160	0	1	2017-01-24 09:40:39
823489060559814656	10	5	2017-01-23 11:14:26
823467469448871938	0	0	2017-01-23 09:48:38
823451178688282624	1	0	2017-01-23 08:43:54
823251976297312256	2	0	2017-01-22 19:32:21
823136681188532225	0	0	2017-01-22 11:54:12
823136263985385472	2	0	2017-01-22 11:52:33
822927592902848513	3	0	2017-01-21 22:03:22
822919445819617281	2	0	2017-01-21 21:30:59
822819304236351488	5	1	2017-01-21 14:53:04
822518548471959554	1	0	2017-01-20 18:57:58
822514353714905088	2	2	2017-01-20 18:41:18
822514329782276097	5	3	2017-01-20 18:41:12
822507209854746625	3	1	2017-01-20 18:12:54
822503875194351617	3	1	2017-01-20 17:59:39
822498535719501824	2	0	2017-01-20 17:38:26
822474271909957632	2	2	2017-01-20 16:02:01
822428358034227202	1	0	2017-01-20 12:59:35
822424508594327552	2	0	2017-01-20 12:44:17
822375132723187715	1	0	2017-01-20 09:28:05
822374995183534081	1	0	2017-01-20 09:27:32
822032735309099008	12	16	2017-01-19 10:47:31
822013232911175680	3	5	2017-01-19 09:30:01
821443984996311040	0	0	2017-01-17 19:48:02
821281261956268036	2	0	2017-01-17 09:01:26
820747876120797184	3	0	2017-01-15 21:41:57
820700147336278016	1	0	2017-01-15 18:32:17
820643614263013378	1	0	2017-01-15 14:47:39
820590027839258626	2	2	2017-01-15 11:14:43
820210991870971904	7	6	2017-01-14 10:08:33
819887010743779329	3	3	2017-01-13 12:41:10
819884610444283906	2	0	2017-01-13 12:31:38
819856585245782016	1	0	2017-01-13 10:40:16
819566620897144832	4	5	2017-01-12 15:28:03
819519766427815937	1	0	2017-01-12 12:21:52
819499208063512576	8	13	2017-01-12 11:00:11
819499195346415617	5	8	2017-01-12 11:00:08
819499170994143232	3	9	2017-01-12 11:00:02
819499169635303425	1	2	2017-01-12 11:00:02
819083865100849152	1	1	2017-01-11 07:29:45
819083848831082500	2	1	2017-01-11 07:29:42
818819714386427904	1	0	2017-01-10 14:00:07
818815242176253952	2	0	2017-01-10 13:42:21
818811981524324353	7	2	2017-01-10 13:29:23
